Re                            | Brutos
hat: 50                       | house: 48
help: 50                      | dear: 47
possible: 50                  | father: 46
told: 50                      | mind: 46
behind: 50                    | gave: 46
brought: 50                   | asked: 45
hardly: 50                    | anything: 45
front: 50                     | being: 45
under: 49                     | within: 45
life: 49                      | That: 45
understand: 49                | front: 45
both: 48                      | under: 44
leave: 48                     | black: 44
already: 48                   | name: 43
home: 48                      | already: 43
thing: 47                     | head: 43
1: 47                         | whole: 43
use: 47                       | wish: 42
money: 47                     | “He: 42
suddenly: 47                  | behind: 42
strange: 46                   | hands: 42
minutes: 46                   | whether: 41
gave: 46                      | leave: 41
words: 46                     | “That: 41
papers: 45                    | really: 41
wish: 45                      | lay: 41
hair: 45                      | enough: 41
certainly: 45                 | strange: 40
being: 45                     | looking: 40
whole: 45                     | Watson,: 40
fire: 45                      | better: 40
paper: 45                     | also: 40
gentleman: 45                 | “No,: 39
point: 45                     | “Then: 39
gone: 45                      | then?”: 39
days: 45                      | help: 39
mrs: 44                       | both: 39
many: 44                      | lady: 39
clear: 44                     | so.: 39
whether: 43                   | Mrs.: 39
sure: 43                      | call: 39
call: 43                      | When: 38
yourself: 42                  | whom: 38
another: 42                   | passed: 38
baker: 42                     | large: 38
lay: 42                       | less: 38
pray: 42                      | “My: 38
london: 41                    | soon: 37
lord: 41                      | room,: 37
passed: 41                    | open: 37
word: 41                      | use: 37
met: 41                       | met: 37
does: 41                      | half: 37
large: 41                     | many: 37
five: 40                      | now,: 36
dark: 40                      | end: 36
whom: 40                      | £: 36
simon: 40                     | They: 36
men: 40                       | chair: 36
soon: 39                      | woman: 35
read: 39                      | save: 35
bed: 39                       | Lord: 35
country: 39                   | wife: 35
doctor: 39                    | why: 35
since: 39                     | it.”: 35
clock: 38                     | across: 34
during: 38                    | up,: 34
interest: 38                  | stood: 34
four: 38                      | home: 34
lestrade: 38                  | “There: 34
less: 38                      | clear: 34
rucastle: 38                  | yourself: 33
save: 37                      | rushed: 33
evening: 37                   | night: 33
across: 37                    | cried: 33
mccarthy: 37                  | asked.: 33
part: 36                      | possible: 33
least: 36                     | during: 33
note: 36                      | ask: 33
moment: 36                    | I,: 33
returned: 36                  | among: 33
opened: 36                    | life: 33
strong: 35                    | suddenly: 33
question: 35                  | days: 33
ask: 35                       | Baker: 33
together: 35                  | thing: 32
hour: 35                      | On: 32
among: 35                     | window: 32
believe: 35                   | part: 32
facts: 35                     | sure: 32
story: 35                     | strong: 32
stood: 35                     | each: 32
o: 35                         | either: 32
used: 34                      | singular: 32
sister: 34                    | you.”: 32
either: 34                    | remarked: 32
ll: 34                        | gentleman: 32
none: 34                      | read: 31
companion: 34                 | another: 31
fellow: 34                    | became: 31
waiting: 34                   | laid: 31
entered: 33                   | does: 31
rushed: 33                    | is,: 31
each: 33                      | think,: 31
given: 33                     | At: 31
sitting: 33                   | hear: 31
felt: 33                      | hand,: 31
new: 33                       | gone: 31
singular: 33                  | since: 31
hear: 33                      | door,: 30
crime: 32                     | course: 30
corner: 32                    | perhaps: 30
hope: 32                      | given: 30
road: 32                      | opened: 30
laid: 32                      | word: 30
going: 32                     | felt: 30
ah: 32                        | able: 30
seven: 32                     | several: 30
else: 32                      | room.: 30
works: 32                     | least: 29
became: 31                    | five: 29
stone: 31                     | hope: 29
near: 31                      | returned: 29
forward: 31                   | threw: 29
death: 31                     | “This: 29
able: 31                      | us.: 29
several: 31                   | house,: 29
client: 31                    | words: 29
best: 31                      | new: 29
sound: 31                     | keep: 28
instant: 31                   | papers: 28
family: 30                    | morning,: 28
ran: 30                       | near: 28
ten: 30                       | Dr.: 28
heavy: 30                     | time,: 28
cut: 30                       | Now,: 28
turn: 30                      | that,: 28
don: 30                       | electronic: 27
letter: 30                    | walked: 27
keep: 29                      | hair: 27
known: 29                     | certainly: 27
inspector: 29                 | anyone: 27
coat: 29                      | dark: 27
full: 29                      | minutes: 27
year: 29                      | believe: 27
rooms: 29                     | window,: 27
things: 29                    | cut: 27
anyone: 29                    | place: 27
threw: 29                     | used: 26
white: 29                     | corner: 26
obvious: 29                   | drove: 26
god: 29                       | coming: 26
floor: 29                     | For: 26
six: 29                       | called: 26
true: 29                      | ran: 26
colonel: 29                   | paper: 26
hard: 29                      | THE: 26
dr: 29                        | heavy: 26
past: 29                      | four: 26
imagine: 29                   | course,: 26
fear: 28                      | man.: 26
manner: 28                    | again: 26
seems: 28                     | turn: 26
husband: 28                   | best: 26
coronet: 28                   | so,: 26
walked: 28                    | full: 25
coming: 28                    | Rucastle: 25
cry: 28                       | moment: 25
want: 28                      | want: 25
station: 28                   | facts: 25
feet: 28                      | “We: 25
late: 28                      | there,: 25
people: 28                    | going: 25
taken: 28                     | taken: 25
lamp: 28                      | police: 25
ago: 28                       | One: 25
lost: 28                      | point: 25
office: 27                    | led: 25
electronic: 27                | face,: 25
letters: 27                   | door.: 25
spoke: 27                     | I.: 25
appeared: 27                  | waiting: 25
holder: 27                    | hat: 24
dress: 27                     | seems: 24
visitor: 27                   | me.”: 24
second: 27                    | answered: 24
alone: 27                     | son: 24
marriage: 27                  | out,: 24
goose: 27                     | cry: 24
present: 27                   | began: 24
air: 27                       | things: 24
girl: 27                      | money: 24
absolutely: 27                | appeared: 24
week: 27                      | ten: 24
remember: 27                  | second: 24
clair: 27                     | held: 24
above: 27                     | sir,: 24
e: 26                         | all,: 24
easy: 26                      | absolutely: 24
mine: 26                      | her,: 24
drove: 26                     | seven: 24
king: 26                      | it?”: 24
blue: 26                      | With: 24
cab: 26                       | Gutenberg: 23
rose: 26                      | them.: 23
called: 26                    | beside: 23
thank: 26                     | question: 23
states: 26                    | glancing: 23
person: 26                    | followed: 23
held: 26                      | white: 23
dressed: 26                   | hour: 23
deep: 26                      | sister: 23
reason: 26                    | obvious: 23
address: 26                   | sprang: 23
john: 26                      | works: 23
outside: 26                   | don’t: 23
fact: 25                      | understand: 23
heart: 25                     | considerable: 23
beside: 25                    | them,: 23
began: 25                     | one,: 23
terms: 25                     | known: 22
followed: 25                  | “‘I: 22
windows: 25                   | “Your: 22
quick: 25                     | Simon: 22
steps: 25                     | “A: 22
chance: 25                    | terms: 22
bell: 25                      | rose: 22
foundation: 25                | interest: 22
photograph: 25                | struck: 22
led: 25                       | country: 22
square: 25                    | o’clock: 22
married: 25                   | men: 22
grey: 24                      | day,: 22
ready: 24                     | face.: 22
started: 24                   | sound: 22
cases: 24                     | carried: 22
likely: 24                    | hurried: 22
twenty: 24                    | letter: 22
eye: 24                       | “that: 22
public: 24                    | glanced: 22
attention: 24                 | above: 22
bird: 24                      | entered: 21
headed: 24                    | “How: 21
struck: 24                    | whose: 21
step: 24                      | started: 21
nature: 24                    | house.: 21
silence: 24                   | said,: 21
because: 24                   | bring: 21
next: 24                      | people: 21
written: 23                   | person: 21
whose: 23                     | Lestrade: 21
glancing: 23                  | six: 21
poor: 23                      | deep: 21
mother: 23                    | standing: 21
pocket: 23                    | King: 21
bring: 23                     | McCarthy: 21
ground: 23                    | hard: 21
passage: 23                   | else: 21
town: 23                      | lost: 21
breakfast: 23                 | instant: 21
sprang: 23                    | written: 20
idea: 23                      | fear: 20
happened: 23                  | closed: 20
standing: 23                  | family: 20
hosmer: 23                    | grey: 20
arthur: 23                    | Hosmer: 20
daughter: 23                  | easy: 20
lane: 23                      | Street: 20
sort: 23                      | seeing: 20
considerable: 23              | likely: 20
occurred: 22                  | night,: 20
cause: 22                     | doing: 20
closed: 22                    | blue: 20
ha: 22                        | poor: 20
city: 22                      | Now: 20
seeing: 22                    | Your: 20
important: 22                 | forward: 20
carriage: 22                  | drawn: 20
kind: 22                      | step: 20
return: 22                    | reason: 20
means: 22                     | story: 20
position: 22                  | indeed: 20
cold: 22                      | So: 20
turner: 22                    | next: 20
mary: 22                      | ‘I: 20
high: 22                      | almost: 20
need: 22                      | short: 20
drawn: 22                     | towards: 20
wilson: 22                    | London: 20
observed: 22                  | red: 20
carried: 22                   | sent: 20
hurried: 22                   | remember: 20
short: 22                     | caught: 20
mystery: 22                   | “In: 19
wedding: 22                   | OF: 19
glanced: 22                   | reached: 19
hunter: 22                    | table: 19
clothes: 22                   | How: 19
maid: 22                      | shown: 19
sight: 21                     | us,: 19
body: 21                      | evening: 19
angel: 21                     | rooms: 19
doing: 21                     | spoke: 19
roylott: 21                   | “They: 19
interesting: 21               | see,: 19
thin: 21                      | stone: 19
order: 21                     | steps: 19
danger: 21                    | need: 19
problem: 21                   | peculiar: 19
remarkable: 21                | true: 19
boy: 21                       | case,: 19
afraid: 21                    | answered.: 19
train: 21                     | “Pray: 19
points: 21                    | Street,: 19
k: 21                         | all.: 19
james: 21                     | Watson,”: 19
character: 21                 | showed: 19
stepfather: 21                | John: 19
sent: 21                      | sight: 18
quiet: 21                     | cause: 18
drive: 21                     | extraordinary: 18
child: 21                     | account: 18
fashion: 20                   | manner: 18
license: 20                   | ready: 18
others: 20                    | placed: 18
account: 20                   | are,: 18
earth: 20                     | note: 18
england: 20                   | return: 18
shown: 20                     | eye: 18
frank: 20                     | Do: 18
advertisement: 20             | All: 18
close: 20                     | single: 18
mean: 20                      | feet: 18
laughed: 20                   | hundred: 18
speak: 20                     | Neville: 18
matters: 20                   | order: 18
opinion: 20                   | speak: 18
ourselves: 20                 | “Not: 18
peculiar: 20                  | present: 18
voice: 20                     | afraid: 18
experience: 20                | idea: 18
secret: 20                    | matter,: 18
fresh: 20                     | that.: 18
everything: 20                | copyright: 18
copyright: 20                 | “Very: 18
safe: 20                      | daughter: 18
hours: 20                     | talk: 18
almost: 20                    | “If: 18
towards: 20                   | By: 17
showed: 20                    | feel: 17
talk: 20                      | I’ll: 17
caught: 20                    | body: 17
quietly: 20                   | Here: 17
windibank: 20                 | close: 17
extraordinary: 19             | cab: 17
silent: 19                    | matter.: 17
reached: 19                   | cold: 17
someone: 19                   | seem: 17
court: 19                     | windows: 17
placed: 19                    | charge: 17
slowly: 19                    | know,: 17
finally: 19                   | sign: 17
uncle: 19                     | chance: 17
line: 19                      | you,”: 17
colour: 19                    | To: 17
advice: 19                    | bed: 17
neville: 19                   | remarkable: 17
box: 19                       | Holmes’: 17
effect: 19                    | hand.: 17
direction: 19                 | understand,: 17
single: 19                    | James: 17
hall: 19                      | drew: 17
finger: 19                    | none: 17
hundred: 19                   | client: 17
entirely: 19                  | remarked,: 17
received: 19                  | way,: 17
charge: 19                    | pulled: 17
lodge: 19                     | Well,: 17
details: 19                   | meet: 17
sign: 19                      | quiet: 17
figure: 19                    | “When: 17
adventure: 19                 | past: 17
wait: 19                      | cried,: 16
rest: 19                      | happy: 16
law: 19                       | side.: 16
stoner: 19                    | crime: 16
simple: 19                    | letters: 16
suppose: 19                   | glad: 16
pipe: 19                      | slowly: 16
pool: 19                      | shook: 16
observe: 19                   | Of: 16
excellent: 19                 | do,: 16
dead: 19                      | cried.: 16
pay: 18                       | along: 16
company: 18                   | effect: 16
gold: 18                      | public: 16
listened: 18                  | surprised: 16
hatherley: 18                 | change: 16
garden: 18                    | late: 16
happy: 18                     | him.”: 16
itself: 18                    | received: 16
agreement: 18                 | dreadful: 16
glad: 18                      | in,: 16
low: 18                       | fire: 16
serious: 18                   | nor: 16
coroner: 18                   | marriage: 16
bedroom: 18                   | following: 16
united: 18                    | state: 16
along: 18                     | there.: 16
laughing: 18                  | air: 16
morrow: 18                    | train: 16
water: 18                     | points: 16
nor: 18                       | fresh: 16
bright: 18                    | too,: 16
majesty: 18                   | show: 16
fell: 18                      | making: 16
state: 18                     | you?”: 16
locked: 18                    | dropped: 16
lips: 18                      | fellow: 16
yours: 18                     | love: 16
afterwards: 18                | United: 16
meet: 18                      | sudden: 16
won: 18                       | remained: 16
love: 18                      | married: 16
appears: 18                   | won’t: 15
remained: 18                  | said.: 15
evidence: 17                  | fact: 15
feel: 17                      | year: 15
certain: 17                   | low: 15
world: 17                     | impression: 15
irene: 17                     | coronet: 15
feeling: 17                   | remarked.: 15
seem: 17                      | line: 15
surprised: 17                 | cases: 15
change: 17                    | eyes,: 15
wooden: 17                    | again.: 15
league: 17                    | laughed: 15
afternoon: 17                 | feeling: 15
geese: 17                     | means: 15
dreadful: 17                  | attention: 15
machine: 17                   | position: 15
boots: 17                     | didn’t: 15
innocent: 17                  | entirely: 15
drew: 17                      | wooden: 15
news: 17                      | quick: 15
sit: 17                       | “Do: 15
thumb: 17                     | Let: 15
making: 17                    | sitting: 15
pulled: 17                    | Street.: 15
ring: 17                      | dress: 15
miles: 17                     | here,: 15
weeks: 17                     | caused: 15
glance: 17                    | ourselves: 15
instantly: 17                 | well.: 15
dog: 16                       | goose: 15
lock: 16                      | fell: 15
openshaw: 16                  | Oh,: 15
key: 16                       | taking: 15
trust: 16                     | silence: 15
surprise: 16                  | lamp: 15
smiling: 16                   | observed: 15
cleared: 16                   | again,: 15
shook: 16                     | afterwards: 15
impression: 16                | turning: 15
pale: 16                      | “Thank: 15
neither: 16                   | open,: 15
examined: 16                  | Our: 15
dressing: 16                  | Mary: 15
appearance: 16                | appears: 15
determined: 16                | glance: 15
start: 16                     | imagine: 15
kindly: 16                    | pay: 14
twice: 16                     | terrible: 14
events: 16                    | listened: 14
free: 16                      | “Quite: 14
confess: 16                   | inspector: 14
lit: 16                       | someone: 14
broad: 16                     | key: 14
following: 16                 | heart: 14
sharp: 16                     | mine: 14
shoulders: 16                 | serious: 14
whispered: 16                 | down,: 14
centre: 16                    | pushed: 14
importance: 16                | paid: 14
yard: 16                      | yes,: 14
adler: 16                     | Boscombe: 14
taking: 16                    | deal: 14
claim: 16                     | determined: 14
whatever: 16                  | interesting: 14
show: 16                      | man’s: 14
explain: 16                   | direction: 14
turning: 16                   | friend,: 14
dropped: 16                   | together: 14
mad: 16                       | confess: 14
third: 16                     | visitor: 14
brown: 16                     | figure: 14
double: 16                    | son,: 14
sudden: 16                    | town: 14
times: 16                     | Frank: 14
chamber: 16                   | lying: 14
information: 16               | say,: 14
boscombe: 16                  | sharp: 14
arrived: 16                   | walk: 14
terrible: 15                  | back.: 14
slight: 15                    | happened: 14
society: 15                   | probably: 14
blood: 15                     | broke: 14
band: 15                      | news: 14
fancy: 15                     | official: 14
says: 15                      | because: 14
nearly: 15                    | everything: 14
answer: 15                    | wrote: 14
excuse: 15                    | number: 14
toller: 15                    | right,: 14
paid: 15                      | simple: 14
armchair: 15                  | sir.: 14
donations: 15                 | explain: 14
absolute: 15                  | table.: 14
deal: 15                      | weeks: 14
foot: 15                      | sort: 14
object: 15                    | outside: 14
later: 15                     | hands.: 14
clearly: 15                   | instantly: 14
didn: 15                      | occurred: 13
yellow: 15                    | private: 13
force: 15                     | Foundation: 13
witness: 15                   | time.: 13
therefore: 15                 | certain: 13
caused: 15                    | husband: 13
writing: 15                   | trust: 13
reading: 15                   | “Ah,: 13
clay: 15                      | nearly: 13
walk: 15                      | excuse: 13
follow: 15                    | neither: 13
truth: 15                     | was,: 13
german: 15                    | amid: 13
engaged: 15                   | carry: 13
care: 15                      | carriage: 13
wrong: 15                     | absolute: 13
arms: 15                      | raise: 13
probably: 15                  | object: 13
cellar: 15                    | horrible: 13
assistant: 15                 | thin: 13
official: 15                  | Irene: 13
number: 15                    | clearly: 13
comes: 15                     | which,: 13
live: 15                      | head.: 13
waited: 15                    | night.: 13
view: 15                      | she,: 13
thirty: 15                    | break: 13
glass: 14                     | matters: 13
bank: 14                      | indeed,: 13
private: 14                   | father,: 13
noble: 14                     | Literary: 13
early: 14                     | Clair: 13
trademark: 14                 | alone: 13
smoke: 14                     | From: 13
shot: 14                      | dressed: 13
bad: 14                       | professional: 13
paragraph: 14                 | rest: 13
envelope: 14                  | follow: 13
den: 14                       | wrong: 13
pushed: 14                    | nature: 13
top: 14                       | lady,: 13
amid: 14                      | experience: 13
nine: 14                      | eyes.: 13
promise: 14                   | slipped: 13
common: 14                    | sit: 13
difficult: 14                 | signs: 13
literary: 14                  | “but: 13
wall: 14                      | bent: 13
precisely: 14                 | Arthur: 13
thick: 14                     | more.: 13
age: 14                       | comes: 13
sum: 14                       | hours: 13
run: 14                       | live: 13
walking: 14                   | miles: 13
impossible: 14                | week: 13
master: 14                    | work,: 13
shoulder: 14                  | waited: 13
lying: 14                     | fellow,: 13
copy: 14                      | long,: 13
send: 14                      | brown: 13
features: 14                  | not,: 13
eight: 14                     | Archive: 13
scene: 14                     | evidence: 12
professional: 14              | office: 12
pass: 14                      | it,”: 12
middle: 14                    | noble: 12
continued: 14                 | place,: 12
friends: 14                   | slight: 12
broke: 14                     | blood: 12
ventilator: 14                | Pray: 12
presence: 14                  | says: 12
died: 14                      | itself: 12
church: 14                    | shot: 12
